#
# Circular speeds of disk models
#
#  Column 1: distance from center [units = disk scale length R_d]
#  Column 2: circular velocity - point disk [units = (GM_d/R_d)^1/2]
#  Column 3: circular velocity - spherical disk [units = (GM_d/R_d)^1/2]
#  Column 4: circular velocity - exponential disk [units = (GM_d/R_d)^1/2]
#
  R/Rd          vc_point     vc_sphere    vc_exp
  7.70041752  0.360365212  0.359654933  0.379270464
  7.71644974  0.359990656  0.359291106  0.378795326
  7.73248196  0.359617263  0.358928293  0.378319502
  7.74851418  0.359245032  0.358566493  0.377848566
  7.76454639  0.358873963  0.358205706  0.377377152
  7.78057861  0.358504027  0.357845873  0.376908541
  7.79661083  0.358135253  0.357487053  0.376441509
  7.81264305  0.357767612  0.357129246  0.375977546
  7.82867527  0.357401073  0.356772363  0.375513554
  7.84470749  0.357035697  0.356416494  0.375051409
  7.86073971  0.356671393  0.356061578  0.374591053
  7.87677193  0.356308222  0.355707645  0.374132782
  7.89280415  0.355946183  0.355354667  0.37367487
  7.90883636  0.355585217  0.355002671  0.373219252
  7.92486858  0.355225354  0.35465163  0.372766048
  7.9409008  0.354866564  0.354301542  0.372313172
  7.95693302  0.354508907  0.353952438  0.371864051
  7.97296524  0.354152292  0.353604227  0.371413618
  7.98899746  0.35379675  0.353257  0.370967656
  8.00502968  0.353442311  0.352910757  0.370521933
